item,price,rating_avg,description,rater_count,filter,side,menu
Caprese salad,6.99,0,"mixed greens, ripe tomatoes, and fresh mozzarella cheese with vinagrette and basil aioli",0,gluten-free,0,s
Caprese salad wrap,6.99,0,"mixed greens, ripe tomatoes, and fresh mozzarella cheese with vinagrette and basil aioli",0,none,0,s
Rice and beans,2.99,0,side,0,vegan,1,s
Chips and salsa,2.99,0,side,0,vegan,1,s
French fries,2.99,0,side,0,vegan,1,s
Shirazi salad,2.99,0,side,0,vegan,1,s
Onion rings,3.99,0,side,0,vegan,1,s
Side house salad,3.99,0,side,0,vegan:gluten-free,1,s
Side cut fruit,3.99,0,side,0,vegan:gluten-free,1,s
Hummus and pita,3.99,0,side,0,vegan,1,s
Plain jane,7.5,0,burger with lettuce and tomato ,0,none,0,ln 
Plain jane with cheese,7.95,0,"burger with lettuce, tomato, and american cheese",0,none,0,ln
Plain jane with mushroom,8.25,0,"burger with lettuce, tomato, sauteed mushrooms, and swiss cheese",0,none,0,ln
Plain jane bacon cheeseburger and mushroom,8.25,0,"burger with cheddar cheese, bacon",0,none,0,ln
Plain jane with bacon egg & cheese,8.25,0,"burger with cheddar cheese, bacon, and a fried egg",0,none,0,ln
Blackjack,8.25,0,"burger with chipotle barbecue sauce, pepper jack cheese, sliced ham, and onion rings",0,none,0,ln
The Club,8.25,0,"burger with lettuce, tomato, american cheese, and bacon on grilled texas toast",0,none,0,ln
California,8.25,0,"burger with cheddar cheese, fried egg, and a smashed avocado",0,none,0,ln
Texican,8.25,0,"burger with southwest seasoning, cheddar cheese, roasted poblano pepper, guacamole, and honey-chipotle dressing",0,none,0,ln
Korean,8.25,0,"burger with house made kimchi, cucumbers, and sesame scallion mayonnaise",0,none,0,ln
Yankee,8.25,0,"burger with melted brie, caramelized onions, apple wood smoked bacon, honey dijonaise, lettuce, and tomato",0,none,0,ln
Philly,8.25,0,burger with sauteed peppers and onions with provolone and american cheese,0,none,0,ln
Portabella,7.5,0,"grilled portabella cap, red onion, arugula, roasted red peppers, lettuce, tomato, provolone, and lemon aioli",0,vegan,0,ln 
Grateful vegan,8.25,0,"house made quinoa burger, roasted corn, black beans, flax seeds, shaved red onion, grilled tomato, baby arugula, and smashed avocado",0,vegan,0,ln
Curried chickpeas,7.5,0,"falafel, baby arugula, sliced tomatoes, and cucumbers",0,vegan,0,ln
Buffalo wings,7.25,0,,0,none,0,ln
chipotle barbecue wings,7.25,0,,0,none,0,ln 
garlic parmesan wings,7.25,0,,0,none,0,ln 
cajun wings,7.25,0,,0,none,0,ln
caribbean jerk wings,7.25,0,,0,none,0,ln 
thai chili wings,7.25,0,,0,none,0,ln 
mango habanero wings,7.25,0,,0,none,0,ln 
honey sriracha wings,7.25,0,,0,none,0,ln 
honey mustard wings,7.25,0,,0,none,0,ln 
Chicken tenders,7.5,0,,0,none,0,ln
Grilled chicken breast sandwich,7.75,0,"with bacon, lettuce, tomato, and sriracha mayonnaise",0,none,0,ln
Spicy grilled chicken breast sandwich,7.75,0,"with bacon, lettuce, tomato, and sriracha mayonnaise",0,none,0,ln
Beef hot dogs,4.5,0,,0,none,0,ln
Chili dogs,5.5,0,,0,none,0,ln
Buffalo chicken sandwhich,7.25,0,,0,none,0,ln
Philly cheese steak wrap,7.5,0,,0,none,0,ln
grilled cheese,3.5,0,,0,none,0,ln
grilled cheese with bacon,4,0,,0,none,0,ln
grilled ham and cheese,4,0,,0,none,0,ln
tuna melt,6,0,,0,none,0,ln
three-cheese quesadilla,5.25,0,,0,none,0,ln
chicken quesadilla,6.5,0,,0,none,0,ln
chicken fajita wrap,6.25,0,,0,none,0,ln
Fruit cup,3.95,0,,0,vegan:gluten-free,1,ln
Yogurt parfait,3.95,0,,0,none,1,ln
Breakfast burrito,4.75,0,,0,none,0,ln
Sausage breakfast burrito,5.25,0,,0,none,0,ln
Bacon breakfast burrito,5.25,0,,0,none,0,ln
Ham breakfast burrito,5.25,0,,0,none,0,ln
Steak breakfast burrito,5.25,0,,0,none,0,ln
Western omelet,4.5,0,,0,none,0,ln
Vegetable omelet,4.5,0,,0,none,0,ln
Philly steak and cheese omelet,4.5,0,,0,none,0,ln
Chocolate chip pancakes,4,0,,0,none,0,ln
Blueberry pancakes,4,0,,0,none,0,ln
Egg and cheese,4,0,,0,none,0,ln
Egg and cheese with sausage,4.5,0,,0,none,0,ln
Egg and cheese with bacon,4.5,0,,0,none,0,ln
Egg and cheese with ham,4.5,0,,0,none,0,ln
Egg and sheese with steak,4.5,0,,0,none,0,ln
Late night special,5.5,0,"2 eggs any style, bacon, and buttermilk pancakes",0,none,0,ln
Late night special with chocolate chip pancakes,6,0,,0,none,0,ln
Late night special with blueberry pancakes,6,0,,0,none,0,ln
Late night special with egg whites and tater tots,6,0,,0,none,0,ln
Vegan chili,4,0,side,0,vegan,1,ln
Beef chili,4,0,side,0,none,1,ln
Tater tots,1.5,0,side,0,vegan,1,ln
Peanut butter & jelly,2,0,side,0,vegan,1,ln
Cereal bowl,2.25,0,side,0,vegan,1,ln
Chili cheese fries,3.99,0,side,0,none,1,ln
Sweet potato fries,3.25,0,side,0,vegan,1,ln
French fries,2.75,0,side,0,vegan,1,ln
Onion rings,4,0,side,0,vegan,1,ln
Small fried mozzarella (6 pieces),4.25,0,side,0,none,1,ln
Large fried mozzarella (10 pieces),7.75,0,side,0,none,1,ln
